Email, First Name, Last Name, Date of Work, Start, Finish, Lunch, Hours Worked, Job Id, Job Name, task, notes, Submitted On
portfolio@take2tech.ca,Port,Folio,2021-07-20,2:0,11:0,45,8.25,C43295,Tramblay,Exterior -- stucco/ roofing/ siding/ etc,Lorem Ipsum,Mon Aug 02 2021 19:11:24
portfolio@take2tech.ca,Port,Folio,2021-07-21,2:0,11:18,15,9.05,C32862,Poirier,HVAC,Lorem Ipsum,Mon Aug 02 2021 19:12:59
portfolio@take2tech.ca,Port,Folio,2021-07-22,3:13,6:0,60,1.78,C43295,Tramblay,Drywall & Insulation,Lorem ipsum dolor sit amet/ consectetur adipiscing elit/ sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam/ quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident/ sunt in culpa qui officia deserunt mollit anim id est laborum.,Mon Aug 02 2021 21:15:03
portfolio@take2tech.ca,Port,Folio,2021-08-03,8:27,12:0,30,3.05,C68329,Chan,Exterior Living Spaces,,Tue Aug 03 2021 14:27:55
tmurv@shaw.ca,Tisha,Murvihill,2021-08-26,9:32,12:0,15,2.21,C19366,Baker,Exterior -- stucco/ roofing/ siding/ etc,,Thu Aug 26 2021 09:32:35
tmurv@shaw.ca,Tisha,Murvihill,2021-08-31,2:0,9:30,30,7,C24519,Fleetwood,Cleaning,,Wed Sep 01 2021 11:43:02
tmurv@shaw.ca,Tisha,Murvihill,2021-08-31,0:59,2:0,0,1.01,C24002,Again,Exterior Living Spaces,,Wed Sep 01 2021 11:44:26
tmurv@shaw.ca,Tisha,Murvihill,2021-09-01,7:59,10:0,15,1.76,Other,  ,Other,222//222//222,Wed Sep 01 2021 11:56:22
tmurv@shaw.ca,Tisha,Murvihill,2021-08-31,20:57,0:0,0,3.05,Other,  ,Other,linebraek//line break//line break,Wed Sep 01 2021 11:58:32
tmurv@shaw.ca,Tisha,Murvihill,2021-08-29,6:0,10:0,0,4,Other,  ,Other,,Wed Sep 01 2021 12:01:11
portfolio@take2tech.ca,Port,Folio,2021-09-07,0:59,9:30,30,8,Other,(please enter in notes),Cabinetry,Barnes-Cartwright,Tue Sep 07 2021 15:29:35
harp@harptisha.com,Harp,Tisha,2021-09-08,7:7,9:0,0,1.88,C24519,Fleetwood,Electrical,asdfje lkjw  ljwe lj kd,Wed Sep 08 2021 13:08:01
harp@harptisha.com,Harp,Tisha,2021-09-06,7:10,10:0,0,2.83,C24310,King,Electrical,asdflk;b ';wlk';lkb ';laskd;'vlk,Wed Sep 08 2021 13:10:50
portfolio@take2tech.ca,Port,Folio,2021-09-11,12:26,23:1,0,10.58,a;ljnen,tjekl,Floors ,,Sat Sep 11 2021 11:26:05
portfolio@take2tech.ca,Port,Folio,2021-09-11,15:27,17:0,0,1.55,akjfkje,alkjek,Plumbing,,Sat Sep 11 2021 11:29:00
portfolio@take2tech.ca,Port,Folio,2021-09-10,1:49,9:2,45,6.46,fjdklwn,lkjsjen,Exterior Living Spaces,,Sat Sep 11 2021 11:50:40
tmurv@shaw.ca,Tishedit,MurvEdit,2021-11-04,0:56,6:0,15,4.81,a;ljnen,tjekl,Painting,,Thu Nov 04 2021 07:56:56
tmurv@shaw.ca,Tishedit,MurvEdit,2021-11-19,11:27,12:0,15,0.3,a;ljnen,tjekl,Plumbing,Plumbing,Fri Nov 19 2021 11:28:16
tmurv@shaw.ca,Tishedit,MurvEdit,2022-01-12,9:0,17:0,30,7.5,fjdklwn,lkjsjen,Electrical,,Sat Jan 22 2022 09:00:49
